id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
1000000,3279,5,59800597-23d0-4a33-9bf6-24fd8ffae22c,2022-11-01 23:37:07,81.154.20.149,East Donald,CT,89197,Firefox,Email,/products,cancel
1000001,,9,89cf7050-18ae-428d-9bd2-07e67df53efa,2023-06-11 19:16:21,7.96.24.140,North Claytonbury,NY,79408,Chrome,Display,/checkout,home
1000002,,4,3f7ed61e-f806-4b35-816e-14b8465d034e,2019-02-28 03:22:02,103.173.150.154,South Bridget,AS,01352,Firefox,Display,/profile,home
1000003,93851,9,a3d9c4f0-e230-4eb9-8f27-26512dd2fc48,2023-07-21 13:07:35,110.195.7.81,Joshuaborough,WV,44619,Edge,Email,/checkout,purchase
1000004,,1,19f769ad-b89b-4f61-b06a-df5dc4885a3a,2019-08-12 22:37:30,54.249.132.163,Cassandraton,VA,60718,Firefox,Facebook,/cart,product
1000005,,6,3d7ec0e1-f388-40e6-9007-0f3831da93b3,2022-03-20 21:01:04,193.193.207.66,New Kellystad,OK,25704,Chrome,Search,/checkout,home
1000006,45083,10,23e0aa5a-52ac-4e5a-91a6-f4fb8db113d1,2023-03-24 17:12:19,78.149.226.163,Traciebury,VI,13739,Safari,Search,/search,cart
1000007,120888,7,0e867154-cf21-4a54-9af0-16cf3d69f703,2021-04-12 20:33:26,27.172.180.136,West Michael,TN,35494,Chrome,Display,/cart,cancel
1000008,112946,6,7ddc24b7-324d-4809-9781-384838d84321,2023-03-18 16:31:09,132.145.219.213,New Jessica,GA,61090,Opera,Email,/search,home
1000009,,4,519f0cbc-9b8b-4d0b-b580-16c59f38e1e3,2021-04-11 09:17:05,196.224.226.204,Meganton,IN,04708,Safari,Search,/products,home
1000010,59430,6,341f76fb-6c13-4e21-872a-1954aaf16d39,2023-10-30 20:31:42,36.60.111.32,New Nancy,MD,28370,Firefox,Organic,/cart,department
1000011,91989,2,37232ecb-2731-4044-a10e-5b4e45d03f97,2022-12-07 01:35:12,61.93.212.42,West Donald,WA,74080,Opera,Email,/profile,cancel
1000012,,8,28e16af1-a55b-4d15-a979-cf87504af083,2022-03-26 21:34:54,189.181.186.216,Coxberg,NY,65187,Edge,Organic,/search,cancel
1000013,89734,6,22fd333e-29de-496b-93cc-60009d007de3,2019-07-19 04:22:49,71.4.125.205,Lake Ernest,TX,55834,Chrome,Email,/home,product
1000014,8676,4,df614adf-6dc2-4a8c-9c62-95aaf0206f1a,2022-07-30 17:34:20,61.244.135.128,Tashatown,TX,94967,Opera,Organic,/products,cancel
1000015,115958,8,3b1ec88a-0783-4ac6-8882-dbe5a1681e01,2019-09-08 23:35:19,216.137.212.249,Danielchester,GA,59971,Firefox,Organic,/products,department
1000016,70645,5,f37ba482-34eb-4258-951b-5348fbb87653,2019-01-08 02:39:06,184.109.174.220,New Rita,VI,82460,Opera,Facebook,/profile,cart
1000017,18132,9,f951acc2-d3d0-40f6-8a05-14d17405424c,2020-10-15 21:25:15,140.186.245.162,West Kathryn,ND,70015,Edge,Search,/home,home
1000018,,3,30726067-411e-4908-a5cb-5e5ab2d58ed4,2024-07-05 10:03:42,159.69.80.225,North Sarahport,IA,08093,Edge,Display,/home,cart
1000019,61349,9,e049fb47-46f2-4f55-807c-688c1b6749a5,2020-06-11 17:59:30,133.10.91.1,Lake Toddland,WV,70323,Safari,Display,/home,cancel
1000020,89354,9,d9dc8e00-20f0-4f5d-a5e6-1db57e1f20e3,2023-08-05 22:38:15,94.107.6.199,West Allison,PA,55962,Safari,Organic,/home,product
1000021,59471,1,89131ab5-4cee-4082-9d89-4014b9331367,2024-10-13 22:03:32,205.155.245.22,Raymondstad,NV,68340,Safari,Display,/products,purchase
1000022,114101,5,e40b4312-9fa1-41e7-acfa-d1c39ca4ec5e,2021-09-16 04:56:50,113.6.64.5,Andrewside,IN,77629,Opera,Display,/products,department
1000023,21175,9,527bcc97-6981-49a1-b1d1-8493ecaac9e5,2020-04-27 11:54:39,67.196.150.120,North Rebecca,VI,43810,Opera,Search,/profile,product
1000024,14663,6,8ea18acc-9dae-4e4c-81bb-6d97d8e88c83,2019-06-05 05:57:46,119.196.65.254,New David,FM,75348,Safari,Email,/home,department
1000025,124119,2,a8dcb3d7-d3da-484a-8d71-f3541f60e7f7,2022-06-16 11:30:48,119.145.76.18,Leeville,TN,56999,Chrome,Facebook,/home,purchase
1000026,16829,8,dabde574-a935-4200-acfa-95450444b707,2021-02-15 06:22:59,35.119.138.105,North Richardmouth,AS,14823,Opera,Email,/cart,purchase
1000027,55462,4,f153d89c-42c7-462e-8804-50358dac25f2,2020-06-28 19:20:40,99.150.194.179,South Isaiah,NH,33243,Opera,Email,/search,product
1000028,88040,6,69ba68c6-446e-416a-8a99-eaeb654a967a,2024-03-30 23:58:09,70.68.34.249,Lake Yvettetown,CO,99272,Edge,Display,/checkout,home
1000029,,2,04551309-4d84-4f2a-ba3f-e759d9b9ce72,2024-02-03 11:48:59,111.197.47.161,Lewisfurt,MH,08186,Safari,Search,/profile,purchase
1000030,,4,0e130719-ff73-4b0a-b56a-396196b4c649,2019-12-27 17:16:42,88.252.171.137,Saramouth,LA,55945,Chrome,Search,/search,cancel
1000031,,2,b52b4acf-9285-4a6a-b37b-5972d17d7e0b,2023-03-07 05:34:03,191.146.207.239,East Kenneth,AR,76415,Chrome,Organic,/home,purchase
1000032,,8,14753171-1a9a-4962-b3cb-f71f262567b1,2023-06-01 00:00:13,84.18.25.238,North Breannahaven,PW,70116,Firefox,Display,/products,cancel
1000033,74848,10,68b72180-ea84-4bce-bde8-5564a4493c9e,2019-12-11 22:26:33,203.148.130.47,North Brooke,TX,31329,Edge,Email,/checkout,cart
1000034,,2,b818385a-e52e-4565-b210-27b3191ff0d3,2021-06-03 16:08:00,205.248.63.192,New Christophershire,OK,69023,Edge,Organic,/checkout,cart
1000035,95562,1,533cfd3f-ff16-4795-91a9-dbdefd8f8261,2020-11-24 03:59:31,122.131.114.212,West Randy,TN,85108,Chrome,Search,/checkout,cancel
1000036,112942,2,319a2d22-ac26-40a5-a6a6-3474cd0926de,2020-10-19 07:02:47,36.164.139.224,South Christineshire,CT,10103,Firefox,Email,/products,purchase
1000037,55297,3,a79e108f-f0fb-4edb-b9fd-5230c85ce0ed,2022-03-23 22:58:03,10.30.138.198,Nicolebury,MN,37854,Safari,Facebook,/products,home
1000038,112899,9,22ca53a8-251e-4a13-b3e1-3998f764912b,2019-12-12 14:57:33,174.107.142.27,Lake Lisaport,TN,14078,Chrome,Search,/search,purchase
1000039,12225,4,a42eb623-3f65-4c23-b989-91263f7dc68c,2024-08-19 04:41:43,71.99.46.235,Lake Angelaview,LA,79777,Firefox,Facebook,/checkout,cart
1000040,,7,01981ef5-1b55-4dfa-826c-cfa4085ba5b0,2020-04-06 11:44:59,48.229.28.185,Kington,CO,83637,Chrome,Email,/checkout,home
1000041,34761,8,1ec56a30-70cf-4cd1-8a03-f09f4352ca8e,2021-07-17 01:18:30,124.3.161.123,Kellieview,GA,97655,Safari,Facebook,/search,cancel
1000042,72846,8,267954ff-f963-4797-b390-f1e7f435fb25,2021-08-26 01:28:42,128.158.109.169,North Sierraberg,ND,05223,Firefox,Email,/cart,department
1000043,75915,9,3c7289af-891a-4096-9fd1-540fb2434cd5,2024-01-03 14:20:40,137.122.94.93,Andersonport,MN,05730,Chrome,Organic,/home,home
1000044,65910,9,d5b18cbb-2261-4d83-8d89-a81daf8b0015,2024-05-23 13:03:11,101.127.194.92,West Kimberlychester,RI,98736,Firefox,Search,/profile,home
1000045,8982,10,1c91c5e3-57dc-4852-828b-3d5104c7b66a,2019-12-05 15:01:57,205.76.205.185,South Angel,WA,44041,Chrome,Email,/checkout,home
1000046,74669,4,ff05179b-2866-4efa-94f2-820f16ccb611,2023-09-11 05:00:41,47.225.248.216,Erikville,MS,05576,Opera,Display,/home,purchase
1000047,,10,eebd704c-e104-4c94-a8f4-1eedb41cb55f,2024-02-25 04:16:03,119.93.102.237,Kevinbury,IN,03602,Opera,Display,/cart,product
1000048,,6,1a7f2812-d8ba-4a4b-8a6a-0ccbbe45ed4b,2022-12-17 03:11:05,49.212.161.234,Port Joshuahaven,MO,89566,Firefox,Organic,/checkout,department
1000049,39322,8,41db3980-2b1c-443c-b64b-93d0f724c606,2024-11-19 16:46:30,4.56.134.161,West Gregoryview,AZ,14709,Safari,Search,/home,cart
1000050,73793,2,fcb88e26-251a-4bff-a4b0-26ea5da7923c,2022-07-31 02:06:10,52.19.74.7,Obrienhaven,DE,50989,Chrome,Display,/products,purchase
1000051,,6,82b0d0d5-9fe8-4ffe-8334-66ed0bb687a1,2024-05-24 19:33:24,96.90.231.83,Smithside,TX,94798,Chrome,Email,/cart,product
1000052,,9,ffc797b7-932a-4418-a61e-a379dbd281f5,2024-08-22 02:47:45,182.78.28.159,Ryanmouth,RI,41646,Safari,Display,/search,purchase
1000053,,9,04fab66c-e723-4a5c-8eb2-77f45a490f34,2022-12-24 11:34:01,83.56.122.228,Elizabethmouth,MO,91885,Safari,Search,/products,product
1000054,,2,5dfe8b7a-20b7-4f93-9ae1-98d41507b464,2020-10-09 18:43:59,90.232.151.191,Byrdburgh,RI,75094,Opera,Email,/cart,product
1000055,94059,6,34066ac2-c8b8-4e16-9ef8-2e3f4139ff67,2020-10-21 09:08:53,4.0.212.212,Justinchester,WY,76520,Firefox,Organic,/profile,cart
1000056,,1,eb955791-1da2-4ac9-b7db-5a7dc24b961a,2022-08-22 04:41:31,60.70.56.217,Lowehaven,NJ,96964,Chrome,Facebook,/cart,home
1000057,,3,7bb33550-8720-403d-9026-45ce139c30e8,2020-01-07 19:03:08,85.115.185.118,Port Stephaniebury,TX,41188,Safari,Email,/search,cart
1000058,56058,9,dc6e403d-848d-4cbe-bbc1-d9d6628829b4,2020-05-07 04:30:17,102.25.2.248,East Traceyland,NH,54822,Chrome,Search,/home,cancel
1000059,71512,1,fc3fa7ad-e444-45d9-9597-6aeed4c36f2f,2024-04-25 12:37:23,152.147.26.109,Rossberg,SD,90629,Safari,Display,/profile,department
1000060,5483,5,2cd39be8-84f2-4187-94b4-dfe5cc813ee3,2019-01-13 03:34:07,179.105.41.194,Robinsonhaven,NH,07083,Safari,Search,/cart,department
1000061,87417,2,10d7871d-f555-42cd-a745-95dfd4169dfa,2022-05-06 06:37:34,211.226.43.110,Andersonmouth,TN,70117,Safari,Display,/checkout,purchase
1000062,121342,4,b07b7861-65d5-4423-911a-aec9fbc21c51,2024-12-04 11:20:12,156.83.31.125,Rivasside,NV,21362,Firefox,Email,/checkout,home
1000063,,6,ea6e8f55-8a91-44fb-bf22-6d3abdfcfd86,2023-06-18 08:22:39,24.75.76.19,Port Dana,WI,68828,Edge,Email,/cart,department
1000064,14169,7,e3f6df73-184a-4857-a383-76af026ff323,2021-11-27 18:02:58,119.9.183.217,Lake Justinview,MA,42405,Chrome,Facebook,/products,department
1000065,60333,6,24a4d4b0-b555-4b1b-93ea-d81f11cd2cbf,2024-05-10 14:55:22,73.167.53.165,South Heather,VT,28544,Safari,Email,/products,home
1000066,52228,6,e3656ebd-61b3-4456-8b85-abbef7c6a11e,2019-05-21 17:24:35,61.209.180.46,Brownchester,MS,77057,Safari,Search,/cart,product
1000067,52387,9,133dbc6f-9d6d-4260-a81c-b8d1722a40fc,2024-09-03 19:43:33,88.88.41.173,Smithstad,ME,99260,Safari,Search,/home,product
1000068,,5,89b75c3f-967c-406e-b59a-3fcad4082355,2021-05-04 11:03:28,221.104.159.81,South Jeffrey,NE,64155,Chrome,Search,/profile,cart
1000069,103079,6,5b75b23b-ff95-4bc4-85eb-7b7d76ddc690,2019-03-05 14:14:28,57.224.83.7,Port Tanner,DC,82061,Edge,Display,/profile,home
1000070,75575,4,ae7f1583-d8d8-4f7d-a6b8-0cdb0a19220f,2022-03-16 06:21:24,208.222.5.31,Lake Roymouth,HI,07091,Safari,Search,/search,cart
1000071,,9,abcd61db-6fed-4235-8164-6a6fb2de5f5b,2020-07-24 00:03:34,61.25.203.54,Matthewfurt,KY,99068,Firefox,Organic,/checkout,home
1000072,120688,6,36820820-30a2-4f02-90b1-d3be9118f1cf,2024-09-15 02:07:02,37.61.243.163,Smithside,AR,46371,Opera,Organic,/search,home
1000073,39364,9,0164190a-e9ad-44e1-98bd-2a9d74ae6dac,2020-05-06 06:29:54,66.147.150.220,East Jamestown,RI,20474,Safari,Facebook,/cart,cart
1000074,72668,3,3f8929ea-593c-4bd2-94e1-1cc09ec8a4ef,2020-06-06 15:38:50,19.169.20.14,South Holly,WI,48852,Firefox,Facebook,/search,cart
1000075,118333,3,f43aea8e-89ee-43a6-8562-11b32ce5f3d2,2020-01-03 15:01:27,135.84.129.170,West Daniel,AK,41389,Opera,Display,/cart,cart
1000076,54,5,a3e3765d-d59b-43e0-bde9-1e386ab25a35,2022-06-15 13:41:42,220.2.131.189,Davidborough,CA,78108,Safari,Email,/checkout,purchase
1000077,42238,8,0d30cd3d-0403-4c0b-9db7-ffa4a955a744,2023-02-22 03:16:06,134.133.141.11,Melissaville,WY,74678,Edge,Facebook,/search,department
1000078,104037,3,caed5057-40f2-43b3-a3d2-bc6cbed2963a,2023-09-11 18:05:49,59.106.139.154,Caseymouth,AL,55558,Chrome,Organic,/profile,cancel
1000079,43934,2,2fa9f0cc-7ec9-4d14-b79f-32e899b3e488,2023-12-07 17:26:56,87.46.22.187,Zimmermanchester,HI,96681,Firefox,Organic,/products,department
1000080,,1,f9733d0f-97ae-460d-85cd-ad2c42854f13,2022-02-17 03:31:51,158.241.159.135,Grahamshire,KY,42746,Firefox,Facebook,/profile,home
1000081,116148,10,c5a24ab4-7f5a-4613-83dc-c2c5e354b7e5,2024-02-10 02:29:05,172.177.124.81,Nicolebury,WV,61411,Firefox,Facebook,/checkout,cart
1000082,,1,e13651bf-3265-41fe-a97f-460efb7ca553,2022-06-02 12:58:25,149.135.133.180,South Melissaburgh,NM,28303,Chrome,Facebook,/products,department
1000083,91215,9,86a20297-ca49-4e84-b8f6-30ac6a9f8d58,2021-02-16 10:06:57,122.60.189.150,Angelahaven,ID,11722,Edge,Search,/profile,department
1000084,15907,8,132ebbc8-710a-4687-86fe-c1f20b68db12,2020-06-12 19:27:59,47.97.119.162,Brewerfort,NV,02761,Firefox,Facebook,/search,purchase
1000085,78048,6,6c8c8b32-5a0a-45b4-999b-f33c98adf11f,2019-07-23 21:07:02,115.228.147.244,Elizabethstad,NJ,73045,Edge,Display,/search,purchase
1000086,118864,9,e8aecf4d-f228-4d93-9874-bcd6744f4bef,2022-03-09 05:59:55,53.43.175.70,Jacquelineview,ME,33452,Edge,Email,/search,cart
1000087,98537,4,17f4cf78-51b0-4679-bcf3-fd2e15a18336,2020-05-20 02:36:44,186.24.248.0,Lake Amandaburgh,ID,28862,Safari,Display,/checkout,cancel
1000088,,8,5fb7b3bd-1b2c-4fd6-8d01-eaef85115eb3,2023-06-07 06:47:13,125.33.202.105,Port Jamesbury,MN,24020,Chrome,Organic,/products,product
1000089,117051,9,a16607bc-d732-4709-81cd-f4eac1f77a43,2020-10-24 06:26:19,136.25.239.107,Brandonton,OH,38791,Chrome,Email,/products,department
1000090,20029,4,70c57a03-0922-4296-9c5d-19bdd810c731,2023-03-09 00:59:46,95.106.142.124,Port Alexanderport,NJ,63247,Chrome,Facebook,/checkout,product
1000091,54497,1,79a2b69a-85c6-497d-bfe7-17d228f74174,2021-08-23 01:36:40,96.105.56.50,Shelleyfort,DE,09065,Firefox,Facebook,/checkout,purchase
1000092,2561,10,882a5db2-aee1-452a-a23b-1599e8b07790,2021-05-27 22:48:00,67.110.84.192,East Lisa,ME,11665,Edge,Facebook,/home,product
1000093,,7,9ad09c4a-c658-4dcc-9329-bf3cfb0b4b67,2024-12-17 16:11:26,90.162.152.91,Port Alexandra,NV,58529,Edge,Display,/search,cancel
