id,product_id,created_at,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_sku,product_distribution_center_id
50000,24934,2022-10-22 17:49:12,2022-11-09 17:49:12,15.66,Pants,Fundamental zero-defect alliance,Calvin Klein,34.57,Women,ak-79425922,7
50001,19183,2019-05-18 03:35:19,,12.54,Outerwear & Coats,Focused regional project,Adidas,44.05,Women,Kn-52076435,10
50002,28380,2019-11-30 01:21:05,2020-02-20 01:21:05,32.71,Jeans,Operative bottom-line project,MG,126.25,Women,tt-83701577,7
50003,16922,2019-07-06 19:03:34,2020-06-17 19:03:34,36.99,Plus,Operative interactive collaboration,Tommy Hilfiger,92.02,Men,EP-14598484,3
50004,20414,2019-06-23 15:59:40,2019-10-14 15:59:40,7.57,Outerwear & Coats,Sharable web-enabled project,Puma,20.61,Women,kR-93617568,2
50005,29907,2024-01-22 20:17:20,2024-06-21 20:17:20,48.95,Pants,Open-architected national throughput,MG,111.61,Women,vD-14155014,1
50006,10871,2019-01-31 09:34:44,2019-06-03 09:34:44,38.15,Accessories,Horizontal systematic adapter,Calvin Klein,92.46,Women,gO-17337591,5
50007,21929,2020-01-09 07:06:32,2020-09-18 07:06:32,28.96,Tops,Self-enabling intangible standardization,Puma,81.09,Men,vC-13188395,1
50008,26103,2019-03-20 12:38:34,,5.18,Tops,Operative 4thgeneration attitude,Nike,16.71,Women,wS-61995942,4
50009,17484,2020-06-30 22:34:19,,35.45,Outerwear & Coats,Versatile client-driven hierarchy,MG,88.55,Women,wN-37094206,6
50010,16758,2023-12-21 06:59:16,2024-06-30 06:59:16,13.11,Tops,Reverse-engineered fresh-thinking projection,Nike,44.88,Men,JM-44080995,3
50011,20194,2019-12-08 01:23:19,,35.2,Pants,Switchable multi-state challenge,MG,124.71,Women,pM-15496308,10
50012,18312,2023-03-07 08:05:00,2023-10-22 08:05:00,33.59,Accessories,Polarized mission-critical challenge,Levi's,123.12,Women,vp-51883389,9
50013,29984,2020-10-23 09:30:27,2020-12-02 09:30:27,27.27,Plus,Reverse-engineered attitude-oriented alliance,Adidas,70.11,Women,ox-26398649,2
50014,23113,2020-10-07 11:19:55,2020-12-13 11:19:55,30.3,Accessories,Reverse-engineered regional project,Nike,92.3,Men,II-70755453,8
50015,17559,2024-03-03 18:34:28,2024-05-26 18:34:28,11.67,Plus,Distributed disintermediate project,Nike,29.23,Men,uF-40917089,4
50016,24843,2024-12-05 11:44:04,,28.25,Plus,Integrated didactic moderator,Puma,85.45,Women,wL-26782827,3
50017,21154,2024-12-15 15:39:13,2025-05-15 15:39:13,17.78,Plus,Organized homogeneous moderator,Calvin Klein,63.22,Men,So-07981051,8
50018,21376,2019-08-27 18:04:46,,14.6,Tops,Optional optimal complexity,Adidas,49.54,Men,wG-99338634,7
50019,20229,2021-11-29 13:59:35,2022-04-16 13:59:35,4.82,Jeans,Face-to-face human-resource toolset,Puma,15.29,Women,Ie-36285849,7
50020,20542,2019-08-20 17:53:44,2020-02-16 17:53:44,11.63,Outerwear & Coats,Sharable empowering hub,Nike,37.96,Men,Hb-75873868,5
50021,18802,2021-03-15 03:26:06,,37.98,Jeans,Team-oriented logistical framework,Tommy Hilfiger,104.38,Men,HV-51152471,6
50022,10169,2021-08-21 02:11:17,,32.95,Outerwear & Coats,Configurable 3rdgeneration projection,Puma,97.72,Men,QE-00300352,8
50023,14465,2020-12-12 03:47:22,,39.42,Pants,Cross-platform maximized productivity,Adidas,131.57,Women,ZJ-28632494,7
50024,23877,2021-12-14 16:46:59,2021-12-15 16:46:59,6.07,Tops,Vision-oriented tangible middleware,Nike,14.41,Men,UP-36002984,4
50025,24699,2023-03-13 12:41:32,2023-05-16 12:41:32,13.69,Sweaters,Stand-alone heuristic superstructure,Adidas,42.38,Men,Vk-82814617,3
50026,19232,2024-01-14 05:31:30,2024-11-09 05:31:30,48.36,Tops,Phased 4thgeneration artificial intelligence,MG,130.43,Women,hF-89138872,1
50027,20574,2023-01-17 19:27:13,,27.93,Pants,Synergized needs-based encryption,MG,103.9,Women,WX-60696688,9
50028,15753,2020-08-21 20:24:01,2021-04-21 20:24:01,32.43,Sweaters,Function-based needs-based methodology,MG,103.38,Women,ii-94931733,3
50029,11179,2019-03-05 18:31:18,2019-05-11 18:31:18,18.46,Pants,Enhanced even-keeled strategy,MG,37.06,Men,GR-80727435,3
50030,16407,2021-03-07 02:39:57,,34.26,Tops,Re-engineered didactic utilization,Calvin Klein,74.14,Women,Zv-28743420,3
50031,26052,2019-02-06 20:08:17,,29.47,Outerwear & Coats,Horizontal analyzing paradigm,Levi's,115.48,Women,mC-05083450,3
50032,20326,2023-11-12 07:55:07,2023-11-20 07:55:07,39.97,Plus,Multi-layered 24/7 portal,Nike,118.25,Women,Ex-26925261,6
50033,25191,2019-07-03 05:57:31,2020-04-21 05:57:31,41.58,Outerwear & Coats,Function-based background model,Nike,110.85,Men,en-82287002,4
50034,15532,2021-07-29 13:14:15,2021-08-16 13:14:15,12.37,Sweaters,Streamlined background data-warehouse,Nike,32.15,Women,RG-99923239,8
50035,25519,2023-04-14 23:34:27,,1.61,Tops,Universal even-keeled service-desk,Levi's,4.94,Men,CI-45122760,2
50036,21375,2021-07-06 22:42:14,2022-01-17 22:42:14,27.56,Plus,Adaptive local standardization,Adidas,76.13,Men,Fg-64420707,10
50037,15296,2020-05-21 15:10:29,,3.45,Jeans,Stand-alone holistic service-desk,MG,13.43,Women,NL-99233128,3
50038,14597,2022-01-01 06:52:45,,26.0,Tops,Customizable background migration,MG,53.12,Men,Pk-60542311,5
50039,28934,2021-04-06 06:36:05,2021-06-02 06:36:05,6.04,Tops,Devolved heuristic time-frame,MG,16.59,Women,ty-74894667,4
50040,23295,2023-04-18 14:41:11,2023-12-31 14:41:11,36.31,Plus,Mandatory 4thgeneration hierarchy,Puma,81.76,Men,vr-75194342,10
50041,10700,2022-01-03 07:24:31,,8.15,Outerwear & Coats,Sharable foreground secured line,Calvin Klein,23.24,Men,qC-08511549,9
50042,16676,2023-02-23 07:11:53,2023-06-21 07:11:53,35.23,Outerwear & Coats,Multi-layered value-added access,Tommy Hilfiger,118.92,Men,Pj-46534254,8
50043,12438,2024-11-23 13:07:47,2025-10-26 13:07:47,43.16,Sweaters,Virtual motivating open architecture,Levi's,149.52,Men,PV-03260297,10
50044,29494,2023-03-18 00:09:58,,16.88,Tops,Implemented zero-defect open architecture,MG,60.35,Men,nW-05796873,8
50045,26275,2021-01-25 01:11:17,2021-09-22 01:11:17,49.26,Outerwear & Coats,Automated bandwidth-monitored model,Levi's,106.74,Women,CB-89761109,4
50046,22009,2024-11-01 13:39:55,2025-05-26 13:39:55,40.92,Jeans,Automated cohesive model,Calvin Klein,94.0,Men,LJ-66535818,3
50047,16618,2021-02-15 02:28:35,2021-08-08 02:28:35,37.91,Accessories,Persistent regional benchmark,Adidas,100.12,Men,kO-72148688,7
50048,18113,2020-05-30 18:54:02,,6.4,Pants,Triple-buffered heuristic hardware,Tommy Hilfiger,16.28,Women,BC-15109346,9
50049,25279,2020-06-01 04:33:34,2020-07-28 04:33:34,4.15,Jeans,Profit-focused needs-based ability,Nike,15.42,Women,FS-48081272,2
