id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
100000,33652,39999,18620,63674,Complete,2024-01-17 20:38:02,2024-01-19 20:38:02,2024-01-25 20:38:02,,113.4
100001,16574,86653,22524,85878,Returned,2023-04-16 18:00:24,2023-04-19 18:00:24,2023-04-20 18:00:24,2023-05-17 18:00:24,136.83
100002,39495,56001,26727,67834,Cancelled,2020-08-15 21:54:50,,,,184.06
100003,24683,57585,17679,134879,Cancelled,2022-10-18 07:33:13,,,,71.88
100004,5829,12505,18942,97278,Complete,2020-02-28 17:29:22,2020-03-02 17:29:22,2020-03-09 17:29:22,,182.58
100005,23806,101112,29307,77765,Returned,2022-05-09 22:31:34,2022-05-11 22:31:34,2022-05-14 22:31:34,2022-05-22 22:31:34,195.7
100006,47516,69147,15016,103083,Processing,2021-01-09 09:39:12,,,,191.84
100007,25414,36331,27611,76077,Returned,2019-12-29 02:08:54,2020-01-01 02:08:54,2020-01-04 02:08:54,2020-01-08 02:08:54,106.56
100008,3179,50325,25559,79133,Shipped,2022-07-22 15:22:07,2022-07-24 15:22:07,,,75.32
100009,19050,34630,16955,135176,Cancelled,2024-09-04 16:37:22,,,,41.22
100010,44172,53720,20173,129717,Returned,2024-06-20 02:39:22,2024-06-21 02:39:22,2024-06-22 02:39:22,2024-07-08 02:39:22,168.35
100011,820,23517,10058,104207,Complete,2019-01-30 13:39:16,2019-02-01 13:39:16,2019-02-08 13:39:16,,146.51
100012,21328,80073,21134,105844,Complete,2020-01-04 04:44:33,2020-01-06 04:44:33,2020-01-08 04:44:33,,41.58
100013,37723,83545,14943,116184,Complete,2021-09-02 15:10:03,2021-09-04 15:10:03,2021-09-08 15:10:03,,173.41
100014,39231,51695,22716,121543,Processing,2021-05-25 13:35:04,,,,90.49
100015,11441,55685,23556,85091,Complete,2019-06-24 23:02:42,2019-06-25 23:02:42,2019-06-30 23:02:42,,178.45
100016,28875,75531,15046,132919,Processing,2021-07-07 06:21:26,,,,20.39
100017,44031,73658,16681,90716,Cancelled,2019-05-25 12:04:49,,,,62.4
100018,40229,124674,13149,76379,Shipped,2019-06-14 16:47:20,2019-06-17 16:47:20,,,28.95
100019,20288,89309,11967,112395,Cancelled,2024-04-01 13:40:50,,,,102.76
100020,21020,40043,22571,79052,Complete,2019-03-04 05:31:35,2019-03-07 05:31:35,2019-03-10 05:31:35,,69.15
100021,16069,75635,18434,111621,Processing,2022-04-25 04:37:52,,,,194.22
100022,16873,118179,22520,116337,Returned,2019-02-04 22:31:56,2019-02-06 22:31:56,2019-02-10 22:31:56,2019-02-11 22:31:56,20.43
100023,18791,122042,13808,107449,Processing,2023-07-12 06:51:06,,,,161.47
100024,6571,18424,14300,123143,Cancelled,2024-07-10 19:05:26,,,,190.14
100025,1080,20489,19769,67882,Cancelled,2021-01-23 07:55:56,,,,42.99
100026,4770,86414,28617,131362,Cancelled,2020-08-15 01:59:16,,,,59.73
100027,46837,98871,12206,54857,Shipped,2022-03-15 02:03:24,2022-03-17 02:03:24,,,15.95
100028,1701,80769,28041,140131,Shipped,2021-02-16 03:49:05,2021-02-18 03:49:05,,,197.04
100029,32403,16469,19003,96448,Returned,2021-06-23 03:07:15,2021-06-24 03:07:15,2021-07-01 03:07:15,2021-07-13 03:07:15,170.92
100030,11175,89315,27075,50069,Shipped,2022-07-05 00:37:44,2022-07-07 00:37:44,,,105.19
