order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_items
1,88344,Complete,F,2021-08-31 04:44:06,,2021-09-05 04:44:06,2021-09-11 04:44:06,2
2,57401,Processing,M,2022-07-04 07:53:53,,,,4
3,92636,Cancelled,F,2024-01-21 00:35:02,,,,3
4,91504,Processing,M,2021-05-14 21:04:54,,,,2
5,66223,Processing,F,2023-07-27 08:05:47,,,,7
6,83812,Cancelled,F,2022-12-19 18:18:33,,,,3
7,109070,Shipped,M,2019-08-16 19:49:37,,2019-08-21 19:49:37,,3
8,88045,Cancelled,F,2021-09-29 03:53:37,,,,5
9,60556,Processing,F,2022-07-14 23:42:34,,,,7
10,104158,Cancelled,M,2019-12-07 11:34:40,,,,5
11,27314,Returned,M,2024-06-25 21:19:54,2024-07-15 21:19:54,2024-06-27 21:19:54,2024-07-07 21:19:54,8
12,9589,Processing,F,2021-02-18 08:05:34,,,,4
13,3153,Returned,M,2021-06-03 07:36:37,2021-06-30 07:36:37,2021-06-06 07:36:37,2021-06-12 07:36:37,7
14,28721,Cancelled,M,2019-01-01 17:13:07,,,,3
15,80430,Cancelled,M,2023-06-02 16:57:24,,,,4
16,52088,Cancelled,M,2021-03-02 11:42:37,,,,1
17,77342,Processing,M,2022-10-13 20:20:26,,,,8
18,82258,Returned,F,2021-08-28 22:43:33,2021-09-05 22:43:33,2021-08-31 22:43:33,2021-09-04 22:43:33,1
19,84994,Shipped,M,2022-01-16 11:47:30,,2022-01-19 11:47:30,,8
20,102275,Cancelled,F,2020-11-25 20:05:20,,,,4
21,21409,Processing,F,2021-07-02 14:16:24,,,,5
22,70295,Cancelled,F,2024-01-04 04:22:24,,,,1
23,4839,Processing,M,2024-05-03 03:01:53,,,,5
24,77899,Complete,M,2020-05-01 01:23:04,,2020-05-04 01:23:04,2020-05-11 01:23:04,4
25,51490,Returned,M,2020-03-27 16:05:52,2020-05-05 16:05:52,2020-03-30 16:05:52,2020-04-07 16:05:52,3
26,44425,Returned,M,2020-05-16 09:41:59,2020-05-30 09:41:59,2020-05-19 09:41:59,2020-05-20 09:41:59,2
27,38819,Shipped,F,2022-04-23 21:43:50,,2022-04-24 21:43:50,,2
28,115798,Processing,F,2023-10-23 03:27:00,,,,7
29,19740,Processing,M,2020-11-08 18:39:34,,,,4
30,52266,Shipped,M,2021-04-08 06:54:52,,2021-04-11 06:54:52,,6
31,6169,Cancelled,F,2021-03-13 20:06:00,,,,5
32,17169,Processing,F,2020-11-29 14:09:58,,,,6
33,51660,Processing,F,2019-12-11 03:00:10,,,,3
34,74703,Complete,M,2024-10-05 21:04:48,,2024-10-08 21:04:48,2024-10-13 21:04:48,7
35,6992,Returned,M,2019-05-27 07:40:37,2019-06-20 07:40:37,2019-06-01 07:40:37,2019-06-05 07:40:37,4
36,39226,Shipped,F,2023-03-28 10:26:38,,2023-03-30 10:26:38,,5
37,87138,Processing,F,2020-05-29 23:13:48,,,,6
38,16912,Complete,M,2022-10-08 21:21:04,,2022-10-11 21:21:04,2022-10-21 21:21:04,6
39,2377,Shipped,M,2024-03-10 00:37:49,,2024-03-13 00:37:49,,2
40,100182,Processing,M,2024-06-29 19:05:04,,,,1
41,103572,Shipped,F,2023-12-17 09:04:18,,2023-12-19 09:04:18,,6
42,93720,Shipped,F,2021-08-18 08:48:38,,2021-08-19 08:48:38,,5
43,57395,Cancelled,F,2019-05-13 11:47:15,,,,5
44,83554,Processing,F,2020-07-19 10:16:43,,,,8
45,111745,Complete,F,2021-10-07 01:35:58,,2021-10-11 01:35:58,2021-10-20 01:35:58,8
46,95479,Processing,F,2024-10-09 12:23:01,,,,7
47,76338,Cancelled,F,2020-11-10 17:16:50,,,,3
48,89077,Complete,M,2020-03-14 17:30:47,,2020-03-16 17:30:47,2020-03-23 17:30:47,5
49,59791,Processing,F,2019-10-01 11:02:14,,,,8
50,33504,Complete,M,2019-08-18 07:21:59,,2019-08-19 07:21:59,2019-08-26 07:21:59,3
51,61389,Processing,M,2019-06-18 20:10:03,,,,5
52,92220,Complete,M,2024-03-29 06:34:11,,2024-03-30 06:34:11,2024-04-07 06:34:11,4
53,123671,Processing,F,2019-07-10 09:08:33,,,,8
54,99603,Returned,F,2024-10-25 17:40:09,2024-11-01 17:40:09,2024-10-26 17:40:09,2024-10-30 17:40:09,1
55,119965,Cancelled,F,2023-03-03 14:12:26,,,,6
56,92008,Returned,F,2022-07-26 06:16:45,2022-08-11 06:16:45,2022-07-30 06:16:45,2022-08-07 06:16:45,7
57,93507,Processing,M,2022-04-30 12:05:32,,,,4
58,27234,Cancelled,F,2022-04-17 15:06:02,,,,1
59,31449,Returned,M,2022-12-15 20:35:31,2023-01-10 20:35:31,2022-12-19 20:35:31,2022-12-22 20:35:31,5
60,11559,Cancelled,M,2020-08-07 04:43:13,,,,1
61,68671,Returned,F,2023-03-27 23:47:18,2023-04-25 23:47:18,2023-03-29 23:47:18,2023-04-07 23:47:18,3
62,48452,Complete,M,2021-04-25 23:46:09,,2021-04-27 23:46:09,2021-04-29 23:46:09,3
63,100461,Complete,M,2021-11-13 21:40:43,,2021-11-18 21:40:43,2021-11-21 21:40:43,2
64,103311,Cancelled,F,2024-05-13 22:30:26,,,,3
65,12550,Cancelled,M,2024-05-07 03:40:28,,,,4
66,105949,Complete,M,2019-11-19 14:45:00,,2019-11-21 14:45:00,2019-11-27 14:45:00,2
67,91688,Returned,M,2023-07-01 23:44:07,2023-07-23 23:44:07,2023-07-04 23:44:07,2023-07-11 23:44:07,4
68,6493,Shipped,F,2024-01-24 05:20:19,,2024-01-27 05:20:19,,7
69,73242,Processing,F,2023-09-11 06:50:53,,,,5
70,93008,Returned,M,2020-02-23 08:14:57,2020-03-04 08:14:57,2020-02-24 08:14:57,2020-03-03 08:14:57,2
71,20167,Cancelled,M,2020-05-24 23:55:56,,,,5
72,116008,Cancelled,F,2020-03-12 09:03:30,,,,4
73,64042,Processing,M,2020-08-06 03:17:57,,,,2
74,122269,Processing,M,2020-07-04 00:08:43,,,,5
75,107338,Processing,M,2019-01-07 21:46:43,,,,4
