id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
10000,39.31,Accessories,Enzyme Regular Scarf,Tommy Hilfiger,149.65,Women,uC-83317284,2
10001,6.11,Pants,Re-contextualized asymmetric portal,Puma,18.38,Men,oP-26050968,1
10002,57.73,Plus,Face-to-face real-time flexibility,Tommy Hilfiger,244.99,Men,fn-69400549,1
10003,11.38,Sweaters,Networked intangible model,Calvin Klein,42.43,Women,nY-32011134,7
10004,17.17,Jeans,Regular Fit Jeans,Gap,54.89,Men,Jk-15017884,9
10005,50.77,Outerwear & Coats,Horizontal bifurcated migration,Puma,118.02,Men,kq-12790839,7
10006,88.11,Pants,Function-based neutral encryption,Nike,317.51,Women,aD-95546721,7
10007,54.89,Jeans,Regular Fit Jeans,Puma,199.26,Women,eK-39996974,2
10008,28.62,Tops,V-Neck Top,Tommy Hilfiger,73.56,Men,ck-97720552,1
10009,65.84,Pants,Persistent coherent focus group,MG,272.0,Men,iJ-99725296,8
10010,29.99,Tops,Long Sleeve Shirt,H&M,65.52,Women,bd-26535486,9
10011,22.15,Sweaters,Pre-emptive solution-oriented customer loyalty,Nike,97.86,Men,Cj-28040566,1
10012,64.65,Pants,Quality-focused methodical algorithm,Tommy Hilfiger,256.1,Women,ms-67201445,3
10013,1.83,Pants,Centralized regional challenge,Nike,5.02,Men,vJ-71190946,1
10014,8.86,Accessories,Low Profile Dyed Cap,H&M,18.93,Men,nS-44411025,6
10015,32.18,Outerwear & Coats,Realigned methodical attitude,Levi's,119.85,Men,nw-59747354,7
10016,5.53,Accessories,4 Panel Large Bill Cap,Gap,22.32,Men,PT-62188680,8
10017,30.25,Plus,Diverse neutral synergy,H&M,134.66,Men,jI-67377783,10
10018,73.03,Accessories,4 Panel Large Bill Cap,MG,258.63,Men,ef-87321708,6
10019,96.66,Plus,Inverse real-time application,Puma,354.37,Men,de-46991635,8
10020,62.6,Plus,Polarized solution-oriented archive,Tommy Hilfiger,215.59,Men,vV-94520480,5
10021,25.34,Pants,Implemented methodical neural-net,Adidas,53.23,Men,ox-80001550,4
10022,35.43,Accessories,Low Profile Dyed Cap,Tommy Hilfiger,89.73,Men,ny-86581541,8
10023,29.75,Tops,Long Sleeve Shirt,Gap,122.41,Women,Qq-33431275,1
10024,14.36,Sweaters,Right-sized hybrid policy,Levi's,26.43,Women,xM-66081433,4
10025,37.56,Jeans,Regular Fit Jeans,Levi's,133.24,Men,Va-11568487,10
10026,44.73,Pants,Front-line zero tolerance alliance,MG,133.16,Women,Vz-51518802,4
10027,93.45,Sweaters,Exclusive 3rdgeneration array,Adidas,350.53,Men,US-62055137,8
10028,47.52,Accessories,Low Profile Dyed Cap,Puma,181.88,Men,la-01720544,2
10029,94.2,Plus,Enhanced disintermediate strategy,Tommy Hilfiger,196.28,Women,vy-25228495,3
