order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_items
80000,83811,Shipped,M,2023-03-13 14:14:24+00:00,,2023-03-16 14:14:24+00:00,,4
80001,29257,Delivered,M,2020-02-15 16:04:16+00:00,,2020-02-20 16:04:16+00:00,2020-02-22 16:04:16+00:00,10
80002,55303,Shipped,M,2021-05-17 04:53:05+00:00,,2021-05-18 04:53:05+00:00,,4
80003,30496,Cancelled,M,2021-02-11 13:59:14+00:00,,,,9
80004,26063,Cancelled,F,2023-09-06 19:06:52+00:00,,,,4
80005,58879,Cancelled,F,2023-05-20 15:40:42+00:00,,,,1
80006,99459,Delivered,F,2024-06-17 02:52:38+00:00,,2024-06-20 02:52:38+00:00,2024-06-25 02:52:38+00:00,3
80007,28222,Processing,M,2020-06-07 18:00:26+00:00,,,,2
80008,49798,Shipped,F,2022-02-09 10:18:06+00:00,,2022-02-12 10:18:06+00:00,,10
80009,34672,Shipped,F,2020-02-24 09:50:00+00:00,,2020-02-29 09:50:00+00:00,,2
80010,120888,Returned,M,2021-02-03 05:35:26+00:00,2021-03-12 05:35:26+00:00,2021-02-08 05:35:26+00:00,2021-02-13 05:35:26+00:00,10
80011,116058,Processing,M,2022-07-11 18:41:24+00:00,,,,2
80012,6007,Delivered,F,2020-02-18 10:54:44+00:00,,2020-02-19 10:54:44+00:00,2020-02-23 10:54:44+00:00,2
80013,49824,Processing,F,2020-12-29 01:51:40+00:00,,,,6
80014,21320,Processing,F,2023-04-01 16:32:08+00:00,,,,4
80015,87842,Processing,M,2022-09-22 01:30:55+00:00,,,,10
80016,83228,Delivered,M,2021-02-06 12:35:23+00:00,,2021-02-08 12:35:23+00:00,2021-02-16 12:35:23+00:00,7
80017,35383,Cancelled,M,2022-12-11 23:58:45+00:00,,,,6
80018,110475,Shipped,M,2024-01-18 00:28:49+00:00,,2024-01-19 00:28:49+00:00,,6
80019,52582,Processing,M,2020-01-12 20:48:05+00:00,,,,4
80020,119687,Cancelled,F,2024-01-11 10:13:22+00:00,,,,4
80021,85910,Returned,F,2023-06-28 19:15:39+00:00,2023-07-14 19:15:39+00:00,2023-07-02 19:15:39+00:00,2023-07-05 19:15:39+00:00,3
80022,32326,Cancelled,F,2021-09-13 07:08:19+00:00,,,,10
80023,56156,Cancelled,F,2020-10-10 21:44:00+00:00,,,,6
80024,28747,Delivered,F,2024-10-13 20:54:20+00:00,,2024-10-14 20:54:20+00:00,2024-10-15 20:54:20+00:00,2
80025,20034,Delivered,F,2021-09-06 14:55:09+00:00,,2021-09-11 14:55:09+00:00,2021-09-13 14:55:09+00:00,7
80026,50020,Cancelled,F,2020-06-18 08:29:37+00:00,,,,9
80027,32954,Cancelled,M,2020-06-25 14:29:54+00:00,,,,2
80028,89354,Cancelled,F,2024-03-27 12:35:35+00:00,,,,6
80029,14622,Processing,F,2023-01-07 09:41:22+00:00,,,,3
80030,59471,Shipped,F,2024-01-13 19:35:22+00:00,,2024-01-18 19:35:22+00:00,,3
80031,66543,Shipped,F,2023-08-25 11:45:56+00:00,,2023-08-30 11:45:56+00:00,,10
80032,26072,Delivered,F,2022-09-06 03:39:35+00:00,,2022-09-08 03:39:35+00:00,2022-09-17 03:39:35+00:00,9
80033,120389,Shipped,F,2024-11-11 21:49:30+00:00,,2024-11-15 21:49:30+00:00,,1
80034,14663,Processing,F,2021-11-22 04:53:25+00:00,,,,4
80035,7593,Delivered,M,2022-10-05 00:37:43+00:00,,2022-10-06 00:37:43+00:00,2022-10-14 00:37:43+00:00,2
80036,99694,Cancelled,M,2024-02-23 11:49:48+00:00,,,,3
80037,86475,Returned,M,2023-02-03 10:00:34+00:00,2023-03-15 10:00:34+00:00,2023-02-06 10:00:34+00:00,2023-02-15 10:00:34+00:00,10
80038,55462,Delivered,M,2024-04-22 11:26:35+00:00,,2024-04-25 11:26:35+00:00,2024-05-02 11:26:35+00:00,6
80039,57423,Cancelled,F,2022-11-20 05:52:49+00:00,,,,2
80040,32494,Delivered,M,2023-07-10 13:09:22+00:00,,2023-07-13 13:09:22+00:00,2023-07-14 13:09:22+00:00,10
